TERMINAL ALTERNATIVO;MERCHANT ALTERNATIVO;TIPOS DE CREDITO;BIN;RANGO INICIAL;RANGO FINAL
10260727;2,00063E+13;Plan 0% 3 cuotas;404265;40426500;40426599
10260727;2,00063E+13;Plan 0% 3 cuotas;433086;43308600;43308699
10260727;2,00063E+13;Plan 0% 3 cuotas;434927;43492700;43492799
10260727;2,00063E+13;Plan 0% 3 cuotas;437993;43799300;43799399
10260727;2,00063E+13;Plan 0% 3 cuotas;498454;49845400;49845499
10260727;2,00063E+13;Plan 0% 3 cuotas;498455;49845500;49845599
10260727;2,00063E+13;Plan 0% 3 cuotas;498456;49845600;49845699
10260727;2,00063E+13;Plan 0% 3 cuotas;510209;51020900;51020999
10260727;2,00063E+13;Plan 0% 3 cuotas;512723;51272300;51272399
10260727;2,00063E+13;Plan 0% 3 cuotas;518678;51867800;51867899
10260727;2,00063E+13;Plan 0% 3 cuotas;519618;51961802;51961802
10260727;2,00063E+13;Plan 0% 3 cuotas;524316;52431600;52431699
10260727;2,00063E+13;Plan 0% 3 cuotas;526062;52606200;52606299
10260727;2,00063E+13;Plan 0% 3 cuotas;531990;53199000;53199099
10260727;2,00063E+13;Plan 0% 3 cuotas;558617;55861700;55861799
10260729;2,00063E+13;Plan 0% 6 cuotas;404265;40426500;40426599
10260729;2,00063E+13;Plan 0% 6 cuotas;433086;43308600;43308699
10260729;2,00063E+13;Plan 0% 6 cuotas;434927;43492700;43492799
10260729;2,00063E+13;Plan 0% 6 cuotas;437993;43799300;43799399
10260729;2,00063E+13;Plan 0% 6 cuotas;498454;49845400;49845499
10260729;2,00063E+13;Plan 0% 6 cuotas;498455;49845500;49845599
10260729;2,00063E+13;Plan 0% 6 cuotas;498456;49845600;49845699
10260729;2,00063E+13;Plan 0% 6 cuotas;510209;51020900;51020999
10260729;2,00063E+13;Plan 0% 6 cuotas;512723;51272300;51272399
10260729;2,00063E+13;Plan 0% 6 cuotas;518678;51867800;51867899
10260729;2,00063E+13;Plan 0% 6 cuotas;519618;51961802;51961802
10260729;2,00063E+13;Plan 0% 6 cuotas;524316;52431600;52431699
10260729;2,00063E+13;Plan 0% 6 cuotas;526062;52606200;52606299
10260729;2,00063E+13;Plan 0% 6 cuotas;531990;53199000;53199099
10260729;2,00063E+13;Plan 0% 6 cuotas;558617;55861700;55861799
10260730;2,00063E+13;Plan 0% 9 cuotas;404265;40426500;40426599
